"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"65013","FRB 20170826A","05:31:58.700","+33:08:52.50","FRB","20121102A","565","5","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.38","Other-","2017-08-26 13:52:01.252","FRBCAT_bot","",""
"65012","FRB 20160823A","05:31:58.700","+33:08:53.00","FRB","20121102A","567","2","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0","Other-","2016-08-23 17:51:23.921","FRBCAT_bot","",""
"65011","FRB 20151208A","05:31:58.000","+33:08:04.00","FRB","20121102A","558.6","1.7","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.03","Other-","2015-12-08 04:54:40.262","FRBCAT_bot","",""
"65010","FRB 20151119D","05:31:58.000","+33:08:04.00","FRB","20121102A","560","6.4","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.09","S-Band-GUPPI","2015-11-19 11:05:52.492","FRBCAT_bot","",""
"65009","FRB 20151119C","05:31:58.000","+33:08:04.00","FRB","20121102A","560","","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.02","S-Band-GUPPI","2015-11-19 10:58:56.234","FRBCAT_bot","",""
"65008","FRB 20151119B","05:31:58.000","+33:08:04.00","FRB","20121102A","568.8","6.6","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.04","S-Band-GUPPI","2015-11-19 10:51:34.957","FRBCAT_bot","",""
"65007","FRB 20151119A","05:31:58.000","+33:08:04.00","FRB","20121102A","565.1","5.2","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.06","S-Band-GUPPI","2015-11-19 10:44:40.524","FRBCAT_bot","",""
"65006","FRB 20151113A","05:31:58.000","+33:08:04.00","FRB","20121102A","559.9","7.1","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.04","S-Band-GUPPI","2015-11-13 08:32:42.375","FRBCAT_bot","",""
"65005","FRB 20150602H","05:31:55.000","+33:08:13.00","FRB","20121102A","556.5","1.1","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.31","Other-","2015-06-02 17:57:32.020","FRBCAT_bot","",""
"65004","FRB 20150602G","05:31:55.000","+33:08:13.00","FRB","20121102A","558.7","4.9","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.05","Other-","2015-06-02 17:56:34.787","FRBCAT_bot","",""
